Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Emotions (Mariah Carey song),Mariah Carey,"August 13, 1991 (1991-08-13)","R&B, dance, [, 1, ], post-disco, house, [, 2, ], dance-pop, [, 3, ]",4:08,Columbia,,"David Cole, Robert Clivillés, Mariah Carey"
Empire State of Mind,"Jay-Z, Alicia Keys","October 20, 2009 (2009-10-20)","Hip hop, pop rap",4:36,", Roc Nation, 
, Atlantic,","Shawn Carter, Alexander Shuckburgh, Janet Sewell-Ulepic, Angela Hunte, Alicia Keys, Sylvia Robinson, Bert Keyes","Al Shux, Janet Sewell-Ulepic, Angela Hunte"
Endless Love (song),"Diana Ross, Lionel Richie",26 June 1981 (US)[1],R&B,4:24,Motown,Lionel Richie,Lionel Richie and James Anthony Carmichael
End of the Road (Boyz II Men song),Boyz II Men,"June 30, 1992 (1992-06-30)",R&B,5:48 (album version)4:13 (single version),"LaFace, Arista, Motown","Kenneth ""Babyface"" Edmonds, Antonio ""L.A."" Reid, Daryl Simmons","Kenneth ""Babyface"" Edmonds, Antonio ""L.A."" Reid, Daryl Simmons (co.)"
Escapade (song),Janet Jackson,"January 8, 1990 (1990-01-08)","Dance-pop, new jack swing",4:44,A&M,"Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson"
Escape (The Piña Colada Song),Rupert Holmes,"September 17, 1979 (1979-09-17)","Soft rock, [, 1, ], [, 2, ], [, 3, ]",4:36 (album version)3:50 (single version),Infinity,Rupert Holmes,"Rupert Holmes, Jim Boyer"
Eternal Flame (song),the Bangles,"January 23, 1989 (1989-01-23)[1]","Soft rock, [, 2, ]",3:56,", CBS, 
, Liberation (Australia),",,Davitt Sigerson
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,December 1976[1],Vocal pop,3:04,Columbia,"Barbra Streisand, Paul Williams, [, 2, ]","Barbra Streisand, Phil Ramone"
Everybody Is a Star,Sly and the Family Stone,December 1969,"Soul, [, 1, ]",3:00,"Epic,  , 5-10555",Sly Stone,Sly Stone
Everybody Loves Somebody,Dean Martin,June 1964,Traditional pop,2:48,Reprise,"Sam Coslow, Irving Taylor, Ken Lane",Jimmy Bowen
Everybody's Somebody's Fool,Connie Francis,"April 7, 1960","Country, [, 1, ]",2:37,MGM,"Jack Keller, Howard Greenfield",Arnold Maxin
Everybody Wants to Rule the World,Tears for Fears,22 March 1985[1],"New wave, synth-pop, dance-rock",4:12,"Phonogram, Mercury, Vertigo","Roland Orzabal, Ian Stanley, Chris Hughes",Chris Hughes
Everyday People,Sly and the Family Stone,November 1968,"Rock, [, 1, ], pop, [, 2, ], psychedelic soul, [, 3, ]",2:22,"Epic,  , 5-10407",Sly Stone,Sly Stone
Everything Is Beautiful,Ray Stevens,March 1970,"Pop, country, soft rock, [, 1, ]",3:29,Barnaby,Ray Stevens,Ray Stevens
Everything She Wants,Wham!,3 December 1984,"Synth-pop, [, 3, ], R&B, [, 4, ]","5:01 (album version)
5:10 (short remix version)
6:34 (long remix and video version)",Columbia,George Michael,George Michael
Everything You Want (Vertical Horizon song),Vertical Horizon,"October 19, 1999 (1999-10-19)[1]","Pop rock, [, 2, ], soft rock, [, 3, ], alternative rock, [, 4, ]","4:17 (album version)
4:06 (radio mix)",", RCA, 
, BMG,",Matthew Scannell,"Mark Endert, Ben Grosse"
Everytime You Go Away,Hall & Oates,"July 29, 1980","Blue-eyed soul, [, 1, ], gospel, [, 1, ]",5:23,RCA,Daryl Hall,"Daryl Hall, John Oates"
Every Breath You Take,the Police,20 May 1983[1],"New wave, [, 3, ], [, 4, ], soft rock, [, 5, ]",3:56 (single version)4:13 (album version),"A&M,  (AM 117)",Sting,"The Police, Hugh Padgham"
Every Rose Has Its Thorn,Poison,1988,"Glam metal, [, 1, ], hard rock, [, 2, ], acoustic rock, [, 3, ], country rock",4:20,Capitol,"Bret Michaels, C.C. DeVille, Bobby Dall, Rikki Rockett",Tom Werman
Eve of Destruction (song),Barry McGuire,"July 16, 1965[1]","Folk rock, [, 2, ], pop, [, 3, ]",3:35,"Dunhill,  (USA), RCA Victor,  (outside the USA)",P. F. Sloan,"Lou Adler, P. F. Sloan, Steve Barri"
Exhale (Shoop Shoop),Whitney Houston,"November 6, 1995 (1995-11-06)",R&B,3:25,Arista,Babyface,Babyface
Eye of the Tiger,Survivor,May 1982[1],"Hard rock, [, 2, ], [, 3, ], AOR",4:04 (album version)3:45 (single version),"EMI, Scotti Brothers","Frankie Sullivan, Jim Peterik","Frankie Sullivan, Jim Peterik"
E.T. (song),"Katy Perry, Kanye West","February 11, 2011 (2011-02-11)","Electronic, hip hop","3:28 (album version)
3:51 (remix featuring Kanye West)",Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Joshua Coleman","Dr. Luke, Max Martin, Ammo"
Faith (George Michael song),George Michael,12 October 1987 (1987-10-12),"Pop, rock and roll, rockabilly, [, 2, ], R&B",3:16,Columbia,George Michael,George Michael
"Fallin' in Love (Hamilton, Joe Frank & Reynolds song)","Hamilton, Joe Frank & Reynolds","May 2, 1975","Soft rock, [, 1, ], rhythm & blues","3:04 (LP version)
3:11 (7"" version)",Playboy,"Dan Hamilton, Ann Hamilton",Jim Price
Fallin' (Alicia Keys song),Alicia Keys,"April 10, 2001 (2001-04-10)","R&B, soul",3:30 (album version)3:16 (radio edit),J,Alicia Keys,Alicia Keys
Fame (David Bowie song),David Bowie,"2 June 1975 (1975-06-02) (US)[1]
25 July 1975 (1975-07-25) (UK)[2]","Funk, [, 3, ], [, 4, ], funk rock, [, 5, ], soul, [, 6, ], [, 7, ]","4:21 (album version)
3:30 (single version)",RCA,"David Bowie, Carlos Alomar, John Lennon","Harry Maslin, David Bowie"
Family Affair (Mary J. Blige song),Mary J. Blige,"July 24, 2001 (2001-07-24)","Dance, [, 1, ], hip hop, [, 2, ], R&B, [, 3, ]","4:25
4:04 (radio edit)",MCA,"Mary J. Blige, Bruce Miller, Andre Young, Camara Kambon, Michael Elizondo",Dr. Dre
Family Affair (Sly and the Family Stone song),Sly and the Family Stone,"November 6, 1971","Funk, [, 1, ], [, 2, ], psychedelic soul, [, 2, ]",3:06,"Epic,  , 5-10805",Sly Stone,Sly Stone
Fancy (Iggy Azalea song),"Iggy Azalea, Charli XCX",17 February  2014,"Electro-hop, electropop, pop rap",3:19,"Def Jam, Virgin EMI","Amethyst Kelly, Charlotte Aitchison, George Astasio, Jason Pebworth, Jonathan Christopher Shave, Kurtis McKenzie","The Invisible Men, the Arcade"
Fantasy (Mariah Carey song),Mariah Carey,"August 23, 1995","Pop soul, [, 1, ], dance-pop, [, 2, ], R&B, [, 1, ], [, 3, ]",4:04,Columbia,,"Mariah Carey, Dave Hall"
Father Figure (George Michael song),George Michael,28 December 1987 (1987-12-28),"Pop, R&B",5:40,Columbia,George Michael,George Michael
Feel Like Makin' Love (Roberta Flack song),Roberta Flack,"June 10, 1974","Soul, [, 1, ], jazz, [, 2, ], R&B",2:55,Atlantic,Eugene McDaniels,Rubina Flake
Fingertips,Little Stevie Wonder,"May 21, 1963","R&B, soul","6:40 (full version)
2:49 (single part 1)
3:09 (single part 2)","Tamla, T 54080","Clarence Paul, Henry Cosby","Berry Gordy, Jr."
Firework (song),Katy Perry,"October 26, 2010 (2010-10-26)",Dance-pop,3:48,Capitol,"Katy Perry, Mikkel S. Eriksen, Tor Erik Hermansen, Sandy Wilhelm, Ester Dean","Stargate, Sandy Vee"
Fire (Ohio Players song),Ohio Players,November 1974,"Funk, [, 1, ], [, 2, ]",3:12 (Single version)4:36 (Album version),Mercury,"Billy Beck, Leroy ""Sugarfoot"" Bonner, Marshall ""Rock"" Jones, Ralph ""Pee Wee"" Middlebrooks, Marvin ""Merv"" Pierce, Clarence ""Satch"" Satchell, James ""Diamond"" Williams",Ohio Players
First Class (song),Jack Harlow,"April 8, 2022 (2022-04-08)","Hip hop, [, 1, ]",2:53,", Atlantic, 
, Generation Now,","Jackman Harlow, Jasper Harris, Douglas Ford, Rogét Chahayed, José Velazquez, Micaiah Raheem, Nickie Jon Pabón, Ryan Vojtesak, Stacy Ferguson, Jamal Jones, Will Adams, Elvis Williams, Christopher Bridges","Chahayed, Harlow, Harris, Charlie Handsome"
First Person Shooter (song),"Drake, J. Cole","October 31, 2023 (2023-10-31)[1]","Hip hop, trap",4:07,", OVO, 
, Republic,","Aubrey Graham, Jermaine Cole, Matthew Samuels, Anderson Hernandez, Brytavious Chambers, Michael Mulé, Isaac De Boni, Ozan Yıldırım, Scotty Coleman, Snorre Tidemand","Boi-1da, Vinylz, Tay Keith, FnZ, Oz, Coleman"
Flashdance... What a Feeling,Irene Cara,March 1983,"Pop, [, 1, ], dance-pop, [, 2, ], disco, [, 3, ]",3:55,"Casablanca, Network",,Giorgio Moroder
Flowers (Miley Cyrus song),Miley Cyrus,"January 12, 2023 (2023-01-12)","Disco, [, 2, ], pop rock, [, 3, ], funk, [, 4, ]",3:20,Columbia,"Miley Cyrus, Gregory Aldae Hein, Michael Pollack","Kid Harpoon, Tyler Johnson"
"Fly, Robin, Fly",Silver Convention,September 1975,"Disco, [, 1, ], Euro disco, [, 2, ], pop, [, 3, ]",3:50 (single version)5:32 (album version),"Jupiter, Midland International","Sylvester Levay, Stephan Prager",Stephan Prager
Foolish Beat,Debbie Gibson,"April 11, 1988 (1988-04-11)",,4:22,Atlantic,Deborah Gibson,Deborah Gibson
Foolish (Ashanti song),Ashanti,"February 11, 2002 (2002-02-11)",R&B,3:47,", Def Jam, 
, AJM, 
, Murder Inc.,","Ashanti Douglas, Mark DeBarge, Etterlene Jordan, Irving Lorenzo",Irv Gotti
Footloose (song),Kenny Loggins,"January 11, 1984","Rock, [, 1, ], country, [, 1, ], rockabilly, [, 2, ]",3:48 (album version) 3:42 (single edit) 2:56 (video edit),Columbia,"Kenny Loggins, Dean Pitchford, [, 3, ]","Kenny Loggins, Lee DeCarlo"
Forever Your Girl (song),Paula Abdul,"February 20, 1989","Dance-pop, new jack swing, [, 2, ]",4:58,Virgin,Oliver Leiber,Oliver Leiber
Fortnight (song),"Taylor Swift, Post Malone","April 19, 2024 (2024-04-19)","Downtempo, electropop, synth-pop, new wave",3:48,Republic,"Taylor Swift, Jack Antonoff, Austin Post","Taylor Swift, Jack Antonoff"
For You Blue,the Beatles,11 May 1970,Country blues,2:32,Apple,George Harrison,Phil Spector
Franchise (song),"Travis Scott, Young Thug, M.I.A.","September 25, 2020 (2020-09-25)",Trap,3:22,", Epic, 
, Cactus Jack,","Jacques Webster II, Jeffery Williams, Mathangi Arulpragasam, Travis ""Teddy"" Walton, Chase Benjamin, Aaron Booe, Jamal Willingham, Bernard Leverette, Maurice Gleaton, Gerald Tiller","Scott, Walton"
Frankenstein (instrumental),The Edgar Winter Group,"February 21, 1973","Instrumental rock, hard rock, progressive rock, blues rock, art rock","4:44 (album version)
3:28 (single version)
3:02 (first single version)",Epic,Edgar Winter,Rick Derringer
Freak Me,Silk,"February 18, 1993",R&B,4:36,"Keia, Elektra","Keith Sweat, Roy Murray, Teno West","Keith Sweat, T.H."
Funkytown,Lipps Inc.,"March 11, 1980[1]","Minneapolis sound, [, 2, ], disco, [, 2, ], [, 3, ], funk, [, 4, ], synth-pop, [, 5, ], dance-pop, [, 6, ]","7:50 (album version)
3:59 (single version)",Casablanca,Steven Greenberg,Steven Greenberg
Gangsta's Paradise,"Coolio, L.V.","August 1, 1995","West Coast hip hop, pop rap, gangsta rap, G-funk, [, 1, ], [, 2, ]",4:04,", Tommy Boy, 
, Warner Bros., 
, MCA,","Artis Ivey, Jr., Larry Sanders, Doug Rasheed, Stevie Wonder",Doug Rasheed
Genie in a Bottle,Christina Aguilera,"June 22, 1999","Soul-pop, [, 1, ], teen pop, dance-pop, [, 2, ], R&B, [, 3, ]",3:36,RCA,"David Frank, Steve Kipner, Pamela Sheyne","David Frank, Steve Kipner"
Georgia on My Mind,,,,,,,
Gettin' Jiggy wit It,Will Smith,"January 26, 1998 (1998-01-26)",,3:48,Columbia,"Will Smith, Samuel Barnes, Bernard Edwards, Joe Robinson, Nile Rodgers",Poke & Tone
Get Back,"the Beatles, Billy Preston",11 April 1969 (1969-04-11),"Rock and roll, [, 1, ], blues, [, 2, ], rock, [, 3, ]",3:09 (album version)3:13 (single version),Apple,Lennon–McCartney,"Glyn Johns, and, George Martin, (single version), Phil Spector, (album version)"
Get Busy,Sean Paul,27 January 2003 (2003-01-27),"Dancehall, [, 1, ], hip hop, [, 1, ]",3:32,", VP, 
, Atlantic,","Sean Paul Henriques, Steven ""Lenky"" Marsden",Steven Marsden
Get Down Tonight,KC and the Sunshine Band,"February 11, 1975","Disco, [, 1, ], funk, [, 2, ], R&B, [, 3, ]",3:21 (single version)5:19 (album version),TK,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
Get Off of My Cloud,the Rolling Stones,"24 September 1965 (1965-09-24) (US)[1]
22 October 1965 (UK)[2]","Blues rock, [, 3, ]",2:55,", London,  (US), [, 4, ], 
, Decca,  (UK),","Jagger–Richards, [, 4, ]","Andrew Loog Oldham, [, 4, ]"
"Get Outta My Dreams, Get into My Car",Billy Ocean,18 January 1988[1],"Dance-pop, [, 2, ], R&B, [, 3, ]","5:36 (album version)
4:43 (single version)",Jive,"Billy Ocean, Robert John ""Mutt"" Lange","Robert John ""Mutt"" Lange"
Ghostbusters (song),Ray Parker Jr.,"June 8, 1984","Dance-pop, [, 1, ], synth-rock, [, 2, ]","4:06 (soundtrack version)
3:46 (edit)",Arista,Ray Parker Jr.,Ray Parker Jr.
Girlfriend (Avril Lavigne song),Avril Lavigne,"February 27, 2007 (2007-02-27)","Pop-punk, power pop",3:37,", RCA, 
, Columbia,","Avril Lavigne, Lukasz Gottwald",Dr. Luke
Girls Like You,"Maroon 5, Cardi B","May 31, 2018 (2018-05-31)","Pop, pop rock","3:56 (Cardi B version)
3:35 (album version)",", 222, 
, Interscope,","Adam Levine, Henry Walter, Belcalis Almanzar, Brittany Talia Hazzard, Jason Evigan, Gian Stone","Cirkut, Jason Evigan"
Girl I'm Gonna Miss You,Milli Vanilli,1 July 1989,,"3:57 (album version)
4:19 (single version)","Hansa, Arista","Frank Farian, Peter Bischof-Fallenstein, Dietmar Kawohl",Frank Farian
Give It to Me (Timbaland song),"Timbaland, Nelly Furtado, Justin Timberlake","February 6, 2007 (2007-02-06)","Electro, hip hop, club, [, 1, ]","3:55 (explicit version)
3:33 (radio edit)",", Mosley, 
, Blackground, 
, Interscope,","Timothy Mosley, Nate Hills, Timothy Clayton, Justin Timberlake, Nelly Furtado",Timbaland
Give Me Everything,"Pitbull, Ne-Yo, Afrojack, Nayer","March 15, 2011 (2011-03-15)[1]","Hip house, pop rap, progressive house, EDM, [, 2, ]","4:12 (album version without intro start)
4:34 (album version with intro start)
4:02 (radio edit / with outro verse)
3:47 (radio edit / without outro verse)
7:56 (extended vocal mix)",", Polo Grounds, 
, J, 
, Mr. 305,","Armando Pérez, Nick van de Wall, Shaffer Smith","Afrojack, DJ Buddha, (co.)"
Give Me Love (Give Me Peace on Earth),George Harrison,7 May 1973 (US)25 May 1973 (UK),"Folk rock, gospel",3:36,Apple,George Harrison,George Harrison
Glamorous (Fergie song),"Fergie, Ludacris","January 23, 2007 (2007-01-23)","R&B, pop, pop rap",4:08,", A&M, 
, will.i.am, 
, Interscope,","Stacy Ferguson, Jamal Jones, William Adams, Elvis Williams, Christopher Bridges",Polow da Don
Glory of Love,Peter Cetera,"June 4, 1986","Soft rock, pop rock","4:26 (Album Version) 
5:02 (Extended Version)",Warner Bros.,"Peter Cetera, David Foster, Diane Nini",Michael Omartian
God's Plan (song),Drake,"January 19, 2018 (2018-01-19)","Pop, pop-rap, trap",3:19,", Young Money, 
, Cash Money, 
, Republic,","Aubrey Graham, Ronald LaTour, Banko Jackson, Matthew Samuels, Noah Shebib, Brock Korsan","Cardo, Yung Exclusive, Boi-1da, 40 (addi.)"
Gold Digger (Kanye West song),"Kanye West, Jamie Foxx","July 5, 2005 (2005-07-05)",Pop rap,3:28,", Roc-A-Fella, 
, Def Jam,","Kanye West, Ray Charles, Renald Richard","Kanye West, Jon Brion"
Gonna Fly Now,Bill Conti,February 1977[1],Philly soul,2:48,United Artists,"Bill Conti, Carol Connors, Ayn Robbins",Bill Conti
Gonna Make You Sweat (Everybody Dance Now),"C+C Music Factory, Freedom Williams","November 18, 1990","Hip house, [, 1, ], funk, [, 2, ], dance-pop, [, 2, ]",4:06,Columbia,"Robert Clivillés, Frederick Williams, David Cole",Clivillés and Cole
Goodies (song),"Ciara, Petey Pablo","June 8, 2004 (2004-06-08)",Crunk&B,3:43,"LaFace, Sho'nuff","Ciara Harris, Sean Garrett, LaMarquis Jefferson, Craig Love, Zachary Wallace, Jonathan ""Lil Jon"" Smith",Lil Jon
Good 4 U,Olivia Rodrigo,"May 14, 2021","Rock, pop rock, pop-punk, teen pop, emo",2:58,", Geffen, 
, Interscope,","Olivia Rodrigo, Dan Nigro, Hayley Williams, Josh Farro",Dan Nigro
Good Lovin',the Olympics,1965,"Doo-wop, [, 1, ]",,Loma,"Rudy Clark, Arthur Resnick",Jerry Ragovoy
Good Luck Charm,Elvis Presley,"February 27, 1962","Rock and roll, pop",2:27,"RCA Victor, [, 1, ]","Aaron Schroeder, Wally Gold, [, 1, ]","Steve Sholes, [, 1, ]"
Good Thing (Fine Young Cannibals song),Fine Young Cannibals,14 April 1989,"Northern soul, [, 1, ], [, 2, ], pop-soul, [, 3, ], R&B, [, 2, ]",3:24,London,"Roland Gift, David Steele",Fine Young Cannibals
Good Times (Chic song),Chic,"June 4, 1979 (1979-06-04)","Funk, disco","8:08 (LP version)
3:42 (7-inch edit)","Atlantic,  (3584)","Bernard Edwards, Nile Rodgers","Bernard Edwards, Nile Rodgers"
Good Vibrations,the Beach Boys,"October 10, 1966 (1966-10-10)[1]","Progressive pop, [, 2, ], [, 3, ], psychedelic rock, [, 4, ], [, 5, ], art pop, [, 6, ], [, 7, ], acid rock, [, 4, ], [, 8, ], psychedelic pop, [, 9, ], [, 10, ], avant-pop, [, 11, ], [, 12, ], R&B, [, 13, ], [, 14, ], sunshine pop, [, 15, ]",3:35,Capitol,"Brian Wilson, Mike Love",Brian Wilson
Good Vibrations (Marky Mark and the Funky Bunch song),"Marky Mark and the Funky Bunch, Loleatta Holloway","July 16, 1991","Pop-rap, hip house, [, 1, ]",4:25,Interscope,"Donnie Wahlberg, Mark Wahlberg, Spice",Donnie Wahlberg
Got My Mind Set on You,"James Ray, Hutch Davie","December 8, 1962","Rock, [, 1, ], R&B, soul",3:26,Dynamic Sound,Rudy Clark,Hutch Davie
Got to Give It Up,Marvin Gaye,"March 15, 1977","Funk, disco, [, 1, ], soul, [, 2, ]",11:52 (full-length version)4:12 (single version),Tamla,Marvin Gaye,Art Stewart
Go Away Little Girl,Steve Lawrence,November 1962,"Pop, [, 1, ]",2:12,Columbia,"Gerry Goffin, and, Carole King",
Grazing in the Grass,Hugh Masekela,May 1968,Jazz,2:55,"Uni,  (55066)",Philemon Hou,Stewart Levine
Grease (song),Frankie Valli,May 1978[1],"Funk, disco, pop, [, 2, ]",3:21,"RSO, Warner Bros.",Barry Gibb,Gibb-Galuten-Richardson
Green Tambourine,the Lemon Pipers,November 1967 (1967-11),"Bubblegum pop, [, 2, ], [, 3, ], [, 4, ], psychedelic pop, [, 4, ], [, 5, ], psychedelic rock, [, 6, ], raga rock, [, 4, ]",2:23,Buddah,"Paul Leka, Shelley Pinz",Paul Leka
Grenade (song),Bruno Mars,October 2010,"Pop, power pop",3:42,Elektra,"Bruno Mars, Philip Lawrence, Ari Levine, Brody Brown, Claude Kelly, Andrew Wyatt",The Smeezingtons
Grillz,"Nelly, Paul Wall, Ali & Gipp","November 1, 2005 (2005-11-01)",,4:30,", Universal, 
, Fo' Reel Entertainment, 
, Derrty Ent.,","Cornell Haynes, Jr., Jermaine Mauldin, Ali Jones, Cameron Gipp, James Phillips, Paul Slayton, Beyoncé Knowles, Kelendria Rowland, Tenitra Williams, Garrett Hamler, Rich Harrison",Jermaine Dupri
Groovin',the Young Rascals,"April 10, 1967","Blue-eyed soul, baião",2:30,Atlantic,"Felix Cavaliere, Eddie Brigati",The Rascals
"Gypsys, Tramps & Thieves",Cher,"September 1, 1971[1]","Pop, folk rock",2:36,", Kapp, 
, MCA,",Bob Stone,Snuff Garrett
Half-Breed (song),Cher,"July 23, 1973","Pop rock, folk rock",2:46,MCA,"Al Capps, Mary Dean",Snuff Garrett
Hangin' Tough (song),New Kids on the Block,"July 3, 1989","Pop rock, dance rock, funk rock","4:18 (album version)
3:54 (7-inch remix)",Columbia,Maurice Starr,Maurice Starr
Hang On Sloopy,the Vibrations,1964 (1964),R&B,2:53,Atlantic,"Wes Farrell, Bert Berns",
Hanky Panky (Tommy James and the Shondells song),the Shondells,October 1964 (original)May 1966 (re-release),"Garage rock, R&B, [, 1, ]",2:59,"Snap!, , Roulette","Jeff Barry, Ellie Greenwich",Henry Glover
Happy Together (song),the Turtles,January 1967 (1967-01)[1],"Pop rock, [, 2, ], [, 3, ], psychedelic pop, [, 4, ], sunshine pop, [, 5, ]",2:50,White Whale,"Alan Gordon, Garry Bonner",Joe Wissert
Happy (Pharrell Williams song),Pharrell Williams,"November 21, 2013 (2013-11-21)[1]","Soul, neo soul, R&B",3:55,", Back Lot Music, 
, i Am Other, 
, Columbia,",Pharrell Williams,Pharrell Williams
Hard to Say I'm Sorry,Chicago,17 May 1982,"Soft rock, [, 1, ], [, 2, ]","5:06 (album version, with ""Get Away"")
3:42 (single version)","Full Moon, , , Warner Bros.","Peter Cetera, David Foster",David Foster
Harlem Shake (song),Baauer,"May 22, 2012 (2012-05-22)","Bass, hip hop, trap, electropop, [, 1, ]",3:16,"Jeffree's, Mad Decent","Harry Rodriques, Héctor Delgado, Jayson Musson, Kurt Hunte, [, 2, ]",Baauer
Harper Valley PTA,Jeannie C. Riley,August 1968,"Country, country pop",3:16,Plantation,"Tom T. Hall, [, 1, ]",Shelby Singleton
Havana (Camila Cabello song),"Camila Cabello, Young Thug","August 3, 2017 (2017-08-03)","Pop, Latin","3:37 (album version)
2:53 (no rap/radio edit)",", Epic, 
, Syco,","Camila Cabello, Jeffery Williams, Brittany Hazzard, Pharrell Williams, Adam Feeney, Brian Lee, Ali Tamposi, Andrew Watt, Louis Bell, Kaan Gunesberk",Frank Dukes
Have You Ever?,Brandy,"October 6, 1998 (1998-10-06)[1]","Pop, [, 2, ]","4:33 (album version)
3:33 (radio edit)",Atlantic,Diane Warren,David Foster
Have You Ever Really Loved a Woman?,Bryan Adams,"April 4, 1995 (1995-04-04)","Latin rock, [, 2, ]",4:50,A&M,"Bryan Adams, Michael Kamen, Robert John ""Mutt"" Lange","Bryan Adams, Robert John ""Mutt"" Lange"
Have You Never Been Mellow (song),Olivia Newton-John,January 1975,"Pop, country, adult contemporary",3:31,", EMI,  (UK), 
, MCA,  (US),",John Farrar,John Farrar
Head to Toe (Lisa Lisa and Cult Jam song),Lisa Lisa and Cult Jam,March 1987,"Freestyle, [, 1, ], soul, [, 1, ]",5:03 (Album Version)4:02 (Single/Video Version),Columbia,"Curt Bedeau, Gerry Charles, Hugh L Clarke, Brian George, Lucien George, Paul George",Full Force
Heartaches by the Number,Guy Mitchell,"August 31, 1959","Country, [, 1, ], [, 2, ]",2:34,Columbia,Harlan Howard,Joe Sherman
Heartache Tonight,Eagles,"September 18, 1979","Hard rock, rock and roll, [, 1, ], blues rock",4:25,Asylum,"Don Henley, Glenn Frey, Bob Seger, JD Souther",Bill Szymczyk
Heartbreaker (Mariah Carey song),"Mariah Carey, Jay-Z","August 23, 1999 (1999-08-23)","Pop, hip hop, R&B, [, 1, ], [, 2, ]",4:47,Columbia,"Mariah Carey, Shawn Carter, Shirley Elliston, Lincoln Chase, Narada Michael Walden, Jeffrey Cohen","Mariah Carey, DJ Clue, Ken “Duro” Ifill"
Heartless (The Weeknd song),the Weeknd,"November 27, 2019 (2019-11-27)","R&B, trap, [, 1, ]",3:18[2],", XO, 
, Republic,","Abel Tesfaye, Leland Wayne, Carlo Montagnese, Andre Proctor","Metro Boomin, The Weeknd, Illangelo, Dre Moon, (, co., )"
Heart of Glass (song),Blondie,January 1979 (1979-01),"Disco, new wave, pop, dance-rock","3:22 (US 7"" Version)4:12 (UK 7"" Version)3:54 (Original Album Version)5:50 (12"" ""Disco"" Version, 2nd Album Version)4:33 (""Special Mix"" from The Best of Blondie)",Chrysalis,"Debbie Harry, Chris Stein",Mike Chapman
Heart of Gold (Neil Young song),Neil Young,January 1972 (U.S.),"Folk rock, [, 1, ], country rock, [, 2, ], soft rock, [, 3, ]",3:07,Reprise,Neil Young,"Elliot Mazer, Neil Young, [, 4, ]"
Heat Waves,Glass Animals,29 June 2020 (2020-06-29),"Psychedelic pop, [, 2, ], R&B, [, 3, ], pop rock, [, 4, ]",3:58,", Wolf Tone, 
, Polydor, 
, Republic,",Dave Bayley,Dave Bayley
Heaven Is a Place on Earth,Belinda Carlisle,"September 14, 1987 (1987-09-14)[1]","Power pop, pop rock, [, 2, ], synth-rock, [, 3, ]","4:06 (album version)
3:53 (radio edit/7-inch)
5:59 (The Heavenly version/12-inch)",MCA,"Rick Nowels, Ellen Shipley",Rick Nowels
Heaven (Bryan Adams song),Bryan Adams,"April 9, 1985[1]","Power pop, [, 2, ]",4:03,A&M,"Bryan Adams, Jim Vallance","Bob Clearmountain, Bryan Adams"
Hello (Adele song),Adele,23 October 2015 (2015-10-23),"Soul, [, 2, ]",4:56 (album version)4:15 (radio edit),"XL, Columbia","Adele Adkins, Greg Kurstin",Greg Kurstin
"Hello, Dolly! (song)",Louis Armstrong,January 1964,"Traditional pop, Dixieland jazz",2:27,Kapp,Jerry Herman,Michael Kapp
"Hello, Goodbye",the Beatles,24 November 1967 (1967-11-24),"Pop, [, 1, ], psychedelia, [, 2, ]",3:27,", Parlophone,  (UK), 
, Capitol,  (US),",Lennon–McCartney,George Martin
"Hello, I Love You",the Doors,"June 11, 1968 (1968-06-11) by Nipper Music Co., Inc.[1]","Rock, [, 2, ], pop, [, 3, ], pop rock, [, 3, ]",2:13,Elektra,"The Doors, [, 1, ]",Paul A. Rothchild
Hello (Lionel Richie song),Lionel Richie,"February 13, 1984 (1984-02-13)","Pop, [, 1, ], quiet storm, [, 2, ], soft rock, [, 3, ]",4:08,Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael"
"Help Me, Rhonda",the Beach Boys,"March 8, 1965",Rock,3:10,Capitol,,Brian Wilson
Help! (song),the Beatles,19 July 1965 (1965-07-19),"Folk rock, [, 1, ]",2:18,", Parlophone,  (UK), 
, Capitol,  (US),",Lennon–McCartney,George Martin
Here Comes the Hotstepper,Ini Kamoze,1994,"Hip hop, reggae fusion",4:13,Columbia,"Ini Kamoze, Chris Kenner, Kenton Nix, Salaam Remi",Salaam Remi
Here I Go Again,Whitesnake,October 1982[1],"Hard rock, blues rock, [, 2, ]",5:09,Liberty,"David Coverdale, Bernie Marsden",Martin Birch
Hero (Mariah Carey song),Mariah Carey,"October 18, 1993 (1993-10-18)",Pop,4:17,Columbia,,"Walter Afanasieff, Mariah Carey"
Hey Jude,the Beatles,26 August 1968,"Rock, pop, pop rock",7:12,Apple,Lennon–McCartney,George Martin
Hey Paula (song),Paul & Paula,1962,"Pop, [, 1, ]",2:27,"Le Cam, , Philips,  (US), Sparton,  (Canada)",Ray Hildebrand,"Major Bill Smith, Marvin ""Smokey"" Montgomery"
