Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
Shake It Off,Taylor Swift,"August 19, 2014",Dance-pop,3:39,Big Machine,,"Max Martin
Shellback",Taylor Swift,"Taylor Swift
Max Martin
Shellback"
Butterfly (Crazy Town song),Crazy Town,"October 24, 2000",Rap rock,3:36,Columbia,,Josh AbrahamBret Mazur[1],Seth BinzerBret Mazur,Seth BinzerBret MazurAnthony KiedisFleaJohn FruscianteChad Smith
Look What You Made Me Do,Taylor Swift,"August 24, 2017","Electropop
dance-pop
progressive pop
synth-punk",3:31,Big Machine,"Taylor Swift
Jack Antonoff
Fred Fairbrass
Richard Fairbrass
Rob Manzoli","Taylor Swift
Jack Antonoff",,
Vision of Love,Mariah Carey,"May 15, 1990",PopsoulR&B,3:29,Columbia,"Mariah Carey
Ben Margulies","Rhett Lawrence
Narada Michael Walden",,
If You Wanna Be Happy,Jimmy Soul,1963,Doo-wop,2:14,S.P.Q.R./London Records,Rafael de LeonJoseph RoysterCarmella GuidaFrank Guida,,,
He's So Fine,The Chiffons,"January 1963 February 1963 March 1963 April 12, 1963 May 1963",Pop,1:53,Laurie Records,Ronald Mack[2],"Phil Margo, Mitch Margo, Jay Siegal, and Hank Medress",,
Seasons in the Sun,Jacques Brel,1961,Chanson,3:06,Philips,Jacques Brel,,,
Rock Me Amadeus,Falco,May 1985,"Neue Deutsche Welle
synth-pop
dance-pop
hip hop",3:22,A&M,FalcoRob BollandFerdi Bolland,Bolland & Bolland,,
I'm Sorry (John Denver song),John Denver,July 1975,Country,3:32,RCA Victor,John Denver,Milton Okun,,
"Shining Star (Earth, Wind & Fire song)","Earth, Wind & Fire","January 21, 1975","Progressive soul
funk
disco",2:50,Columbia,"Maurice White
Larry Dunn
Philip Bailey","Maurice White
Charles Stepney",,
It's Still Rock and Roll to Me,Billy Joel,"May 12, 1980","New wave
doo-wop
rock
rockabilly
pop rock",2:57,Columbia,Billy Joel,Phil Ramone,,
I Will Follow Him,Little Peggy March,"January 22, 1963",Pop,2:25,RCA Victor,"Franck Pourcel
Paul Mauriat
Arthur Altman
Norman Gimbel",Hugo & Luigi,,
Lonely Boy (Paul Anka song),Paul Anka,"May 11, 1959",Pop,2:31,ABC-Paramount,Paul Anka,Don Costa,,
"Yes, And?",Ariana Grande,"January 12, 2024","House
pop",3:34,Republic,"Ariana Grande
Max Martin
Ilya Salmanzadeh","Ariana Grande
Max Martin
Ilya",,
Higher Love,Steve Winwood,June 1986,Soft rockblues rockblue-eyed soul,4:14,Island – IS 288,"Steve Winwood
Will Jennings","Russ Titelman
Steve Winwood",,
Live Your Life (T.I. song),"T.I., Rihanna","September 8, 2008",Hip hopR&Bpop,5:38,Grand HustleAtlantic,Dan BălanClifford HarrisMakeba RiddickJustin Smith,Just BlazeCanei Finch,,
Together Again (Janet Jackson song),Janet Jackson,"December 1, 1997","Dance-pop
house",4:09,Virgin,"Janet Jackson
James Harris III
Terry Lewis
René Elizondo Jr.","Jimmy Jam and Terry Lewis
Janet Jackson",,
You're the One That I Want,"John Travolta, Olivia Newton-John",March 1978 May 1978,"Pop
bubblegum pop",2:49,RSO,John Farrar,John Farrar,,
Slow Jamz,"Twista, Kanye West, Jamie Foxx","November 10, 2003","Hip hop
pop rap
R&B
chipmunk soul",3:32,"Atlantic
Roc-A-Fella
Def Jam","Carl Mitchell
Kanye West
Burt Bacharach
Hal David",Kanye West,,
Only Girl (In the World),Rihanna,"September 10, 2010",Dance-popEurodance,3:55,Def JamSRP,Crystal JohnsonMikkel S. EriksenTor Erik HermansenSandy Wilhelm,StargateSandy VeeKuk Harrell,,
One Bad Apple,the Osmonds,"November 14, 1970",Bubblegum,2:45,MGM,George Jackson,,,
Honey (Bobby Goldsboro song),Bobby Goldsboro,"February 17, 1968",Country,3:55,United Artists,Bobby Russell,Bob Montgomery,,
Brand New Key,Melanie,October 1971,Folkpopsoft rock,2:26,Neighborhood,Melanie Safka,Peter Schekeryk,,
You've Lost That Lovin' Feelin',the Righteous Brothers,November 1964,"Pop
R&B
blue-eyed soul",3:45,Philles,"Phil Spector
Barry Mann
Cynthia Weil",Phil Spector,,
"Nel blu, dipinto di blu (song)",Domenico Modugno,1 February 1958,"Pop
chanson",3:29,"Fonit 
Decca 
Oriole international",,,Domenico ModugnoFranco Migliacci,Domenico Modugno
Is It Over Now?,Taylor Swift,"October 31, 2023",Electropop,3:49,Republic,"Taylor Swift
Jack Antonoff","Taylor Swift
Jack Antonoff",,
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,June 1960,"Novelty
pop",2:19,Leader/Kapp,Paul VanceLee Pockriss,,,
Gettin' Jiggy wit It,Will Smith,"January 26, 1998",,3:48,Columbia,Will SmithSamuel BarnesBernard EdwardsJoe RobinsonNile Rodgers,Poke & Tone,,
Gonna Fly Now,Bill Conti,February 1977,Philly soul,2:48,United Artists,"Bill Conti
Carol Connors
Ayn Robbins",Bill Conti,,
Shout (Tears for Fears song),Tears for Fears,23 November 1984,New wavesynth-poppop rock,4:52,PhonogramMercury,Roland OrzabalIan Stanley,Chris Hughes,,
The Three Bells,The Browns,"July 3, 1959","Country
folk",2:47,RCA Victor,Jean Villard & Bert Reisfeld,Chet Atkins,,
Lately (Divine song),Divine,"August 25, 1998",R&B,4:18,"Pendulum, Red Ant Entertainment","Christopher Kelly, Will Baker","John Howcott, Donald Parks",,
Rich Girl (Hall & Oates song),Daryl Hall & John Oates,January 1977,"Rock
Philadelphia soul
blue-eyed soul
pop",2:23,RCA Victor,Daryl Hall,Christopher Bond,,
We Are Young,"Fun, Janelle Monáe","September 20, 2011",Arena rockindie rockindie pop,4:10,"Fueled by Ramen
Nettwerk
Atlantic","Jack Antonoff
Jeff Bhasker
Andrew Dost
Nathaniel Ruess",Jeff Bhasker,,
Love Hangover,Diana Ross,"March 16, 1976","Disco
pop",483:46,MotownM 1392,"Marilyn McLeod, Pamela Sawyer",Hal Davis,,
Romantic (song),Karyn White,"August 23, 1991","Dance-pop
new jack swing",4:07,Warner Bros.,"Jimmy Jam and Terry Lewis
Karyn White",Jimmy Jam and Terry Lewis,,
Fantasy (Mariah Carey song),Mariah Carey,"August 23, 1995",Pop souldance-popR&B,4:04,Columbia,,Mariah CareyDave Hall,Mariah CareyChris FrantzTina Weymouth,Mariah CareyDave HallChris FrantzTina WeymouthAdrian BelewSteven Stanley
Foolish (Ashanti song),Ashanti,"February 11, 2002",R&B,3:47,"Def Jam
AJM
Murder Inc.","Ashanti Douglas
Mark DeBarge
Etterlene Jordan
Irving Lorenzo",Irv Gotti,,
All of Me (John Legend song),John Legend,"August 12, 2013",R&Bsoulpop,4:30,GOODColumbia,John StephensToby Gad,Dave TozerJohn Legend,,
Toosie Slide,Drake,"April 3, 2020",Trap,4:07,"Republic
OVO","Aubrey Graham
Ozan Yildirim",OZ,,
Sweet Dreams (Are Made of This),Eurythmics,21 January 1983,"Synth-pop
new wave
electronic",3:36,RCA,"Annie Lennox
David A. Stewart",David A. Stewart,,
Go Away Little Girl,Steve Lawrence,November 1962,Pop,2:12,Columbia,Gerry Goffin and Carole King,,,
The Way You Make Me Feel,Michael Jackson,"November 9, 1987","Pop
R&B",4:26,"Epic
CBS",Michael Jackson,"Quincy Jones
Michael Jackson (co.)",,
She Ain't Worth It,"Glenn Medeiros, Bobby Brown","May 8, 1990",New jack swing,3:38,MCA,"Antonina Armato, Bobby Brown, Ian Prince","Denny Diante, Ian Prince",,
Love Train,the O'Jays,"December 20, 1972","Proto-disco
pop",6:15,Philadelphia International,"Kenneth Gamble, Leon Huff","Kenny Gamble, Leon Huff",,
"Baby, Come to Me (Patti Austin and James Ingram song)","Patti Austin, James Ingram",April 1982October 1982,"Quiet storm
R&B
soft rock",3:31,Qwest,Rod Temperton,Quincy Jones,,
One More Night (Maroon 5 song),Maroon 5,"June 19, 2012","Pop rock
reggae rock
electropop",3:39,A&M Octone,"Adam Levine
Shellback
Max Martin
Savan Kotecha","Shellback
Max Martin",,
Don't You (Forget About Me),Simple Minds,February 1985 9 April 1985,"New wave
pop
pop rock
synth-pop",4:20,VirginA&M,"Keith Forsey
Steve Schiff",Keith Forsey,,
Nothing's Gonna Stop Us Now,Starship,"January 19, 1987","Soft rock
synth-rock",4:29,"Grunt
RCA","Diane Warren
Albert Hammond",Narada Michael Walden,,
This Is the Night (Clay Aiken song),Clay Aiken,"June 10, 2003",Pop,3:32,RCA,"Aldo Nova
Gary Burr
Chris Braide",Steve Mac,,
A Big Hunk o' Love,Elvis Presley,"June 23, 1959","Rock and roll
rockabilly",2:12,RCA Victor,"Aaron Schroeder, Sidney Wyche",Steve Sholes,,
Love Child (song),Diana Ross & the Supremes,"September 30, 1968","Psychedelic soul
psychedelic pop",2:54,Motown M 1135,"R. Dean Taylor, Frank Wilson, Pam Sawyer, Deke Richards","The Clan(R. Dean Taylor, Frank Wilson, Pam Sawyer, Deke Richards) and Henry Cosby",,
(Love Is) Thicker Than Water,Andy Gibb,September 1977,"Pop
disco
soul",3:23,RSO,"Barry Gibb, Andy Gibb",Gibb-Galuten-Richardson,,
Ridin',"Chamillionaire, Krayzie Bone","November 12, 2005",Hip hop,024:08,UniversalChamillitary,Hakeem SerikiJuan Salinas & Oscar SalinasAnthony Henderson,Play-N-Skillz,,
Blame It on the Rain,Milli Vanilli,July 1989,Dance-pop,4:08,"Hansa
Arista",Diane Warren,Frank Farian,,
I Like the Way (The Kissing Game),Hi-Five,"January 2, 1991","New jack swing
R&B
teen pop",5:49,Jive,"Teddy Riley
Bernard Belle
Dave Way",Teddy Riley,,
Venus (Shocking Blue song),Shocking Blue,14 July 1969,"Country rock
dance-rock
psychedelic rock",3:08,Pink Elephant,Robbie van Leeuwen[4],Robbie van Leeuwen,,
Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn featuring Tony Orlando,"February 19, 1973",Pop,3:20,Bell,"Irwin Levine, L. Russell Brown","Hank Medress, Dave Appell",,
Give Me Love (Give Me Peace on Earth),George Harrison,7 May 1973 25 May 1973,"Folk rock, gospel",3:36,Apple,George Harrison,George Harrison,,
All I Want for Christmas Is You,Mariah Carey,"October 29, 1994",Christmaspoppop soul,4:01,Columbia,"Mariah Carey
Walter Afanasieff","Walter Afanasieff
Mariah Carey",,
Lollipop (Lil Wayne song),Lil Wayne,"March 13, 2008","Dirty rap
electropop
trap",5:05,"Cash Money
Universal Motown","Dwayne Carter
Stephen Garrett
Darius Harrison
James Scheffer",Jim Jonsin,,
Band on the Run (song),Paul McCartney and Wings,1974,Rock,5:09,Apple,"Paul McCartney, Linda McCartney",Paul McCartney,,
"Hello, Dolly! (song)",Louis Armstrong,January 1964,Traditional popDixieland jazz,2:27,Kapp,Jerry Herman,Michael Kapp,,
It's My Party,Lesley Gore,"April 5, 1963",Pop,2:19,Mercury,Walter GoldJohn Gluck Jr.Herb WeinerSeymour Gottlieb,Quincy Jones,,
My Sharona,the Knack,"June 18, 1979","Power pop
new wave garage rock",3:58,Capitol,"Doug Fieger
Berton Averre",Mike Chapman,,
Love Takes Time,Mariah Carey,"August 22, 1990",Pop,3:49,Columbia,Mariah CareyBen Margulies,Walter Afanasieff,,
Kung Fu Fighting,Carl Douglas,1974,Disco,3:15,Pye   20th Century Fox   Astor,Carl Douglas,Biddu Appaiah,,
Gold Digger (Kanye West song),"Kanye West, Jamie Foxx","July 5, 2005",Pop rap,3:28,"Roc-A-Fella
Def Jam","Kanye West
Ray Charles
Renald Richard","Kanye West
Jon Brion",,
Dominique,Sœur Sourire,October 1963,Folk,2:53,Philips,Jeanine Deckers,,,
Touch My Body,Mariah Carey,"February 12, 2008",PopR&B,3:24,Island,Mariah CareyCrystal JohnsonTerius NashChristopher Stewart,Mariah CareyTricky Stewart,,
Too Much Heaven,Bee Gees,24 October 1978,"Soul
R&B",4:58,RSO,Barry GibbRobin GibbMaurice Gibb,Bee GeesAlbhy GalutenKarl Richardson,,
Hooked on a Feeling,B. J. Thomas,"October 29, 1968","Pop
psychedelia",2:48,Scepter,Mark James,Chips Moman,,
Sucker (song),Jonas Brothers,"March 1, 2019","Pop rock
dance-rock
tropical",3:01,Republic,"Ryan Tedder
Louis Bell
Mustafa Ahmed
Adam Feeney
Homer Steinweiss
Nicholas Jonas
Joseph Jonas
Kevin Jonas II",Ryan Tedder[a],,Ryan Tedder
Part of Me (Katy Perry song),Katy Perry,"February 13, 2012",Dance-poppower popelectropop,3:35,Capitol,Katy PerryLukasz GottwaldMax MartinBonnie McKee,Dr. LukeMax MartinCirkut,,
So What (Pink song),Pink,"August 11, 2008","Pop rock
glam rock
electronic rock",3:35,LaFace,PinkMax MartinShellback,Max Martin,,
Invisible Touch (song),Genesis,19 May 1986,Dance-rock,3:27,"Charisma
Virgin
Atlantic
Vertigo","Tony Banks
Phil Collins
Mike Rutherford","Genesis
Hugh Padgham",Phil Collins,
Strangers in the Night,Frank Sinatra,"April 12, 1966; 58 years ago",Traditional pop,2:35,Reprise[1],,Jimmy Bowen[1],"Charles Singleton
Eddie Snyder[1]",Bert Kaempfert
The Candy Man,Aubrey Woods,1971,Musical,2:31,Paramount,Leslie BricusseAnthony Newley,,,
First Person Shooter (song),"Drake, J. Cole","October 31, 2023","Hip hop
trap",4:07,"OVO
Republic","Aubrey Graham
Jermaine Cole
Matthew Samuels
Anderson Hernandez
Brytavious Chambers
Michael Mulé
Isaac De Boni
Ozan Yıldırım
Scotty Coleman
Snorre Tidemand","Boi-1da
Vinylz
Tay Keith
FnZ
Oz
Coleman",,
Bad Day (Daniel Powter song),Daniel Powter,"January 9, 2005",Poppop rock,3:55,Warner Bros.,Daniel Powter,"Mitchell Froom
Jeff Dawson",,
Too Close (Next song),Next,"January 27, 1998",,4:20,Arista,"Kay Gee, Terry Brown, Robert Huggar, Raphael Brown",Kay Gee,,
Frankenstein (instrumental),The Edgar Winter Group,"February 21, 1973","Instrumental rock
hard rock
progressive rock
blues rock
art rock",3:28,Epic,Edgar Winter,Rick Derringer,,
Feel Like Makin' Love (Roberta Flack song),Roberta Flack,"June 10, 1974","Soul
jazz
R&B",2:55,Atlantic,Eugene McDaniels,Rubina Flake,,
Flowers (Miley Cyrus song),Miley Cyrus,"January 12, 2023","Disco
pop rock
funk",3:20,Columbia,"Miley Cyrus
Gregory Aldae Hein
Michael Pollack","Kid Harpoon
Tyler Johnson",,
Paperback Writer,the Beatles,30 May 1966,"Hard rock
power pop
psychedelic rock",2:16,"Capitol 
Parlophone",Lennon–McCartney,George Martin,,
The Box (Roddy Ricch song),Roddy Ricch,"January 11, 2020","Hip hop
trap",3:16,"Atlantic
Bird Vision","Rodrick Moore, Jr.
Samuel Gloade
Adarius Moragne
Aqeel Tate","30 Roc
Datboisqueeze
Zentachi",,
It's All in the Game (song),,,,,,,,Carl Sigman,Charles G. Dawes
I Kissed a Girl,Katy Perry,"April 28, 2008","Pop rock
electropop
new wave
glam rock",3:00,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Cathy Dennis","Dr. Luke
Benny Blanco",,
Silly Love Songs,Wings,1 April 1976,Discofunk,3:28,Capitol,Paul McCartneyLinda McCartney,Paul McCartney,,
Here I Go Again,Whitesnake,October 1982,Hard rockblues rock,5:09,Liberty,"David Coverdale
Bernie Marsden",Martin Birch,,
Easy on Me,Adele,15 October 2021,,3:44,Columbia,"Adele Adkins
Greg Kurstin",Greg Kurstin,,
Please Please Please (Sabrina Carpenter song),Sabrina Carpenter,"June 6, 2024","Country pop
yacht rock",3:06,Island,"Sabrina Carpenter
Amy Allen
Jack Antonoff",Jack Antonoff,,
Private Eyes (song),Daryl Hall & John Oates,August 1981,"Pop, blue-eyed soul",3:29,RCA Records,"Warren Pash, Sara Allen, Janna Allen, and Daryl Hall.","Daryl Hall, John Oates, Neil Kernon",,
Willow (song),Taylor Swift,"December 11, 2020",Chamber folk,3:34,Republic,"Taylor Swift
Aaron Dessner",Aaron Dessner,,
My Heart Has a Mind of Its Own,Connie Francis,1960,Country,2:30,MGM,Jack KellerHoward Greenfield,,,
Heartless (The Weeknd song),the Weeknd,"November 27, 2019",R&Btrap,3:18,"XO
Republic","Abel Tesfaye
Leland Wayne
Carlo Montagnese
Andre Proctor","Metro Boomin
The Weeknd
Illangelo
Dre Moon (co.)",,
I Am Woman,Helen Reddy,May 1972,Popsoft rock,3:24,Capitol,"Ray Burton, Helen Reddy",Jay Senter,,
The Way It Is (Bruce Hornsby song),Bruce Hornsby and the Range,July 1986 September 1986,"Soft rock
pop",4:58,RCA,Bruce Hornsby,"Bruce Hornsby, Elliot Scheiner",,
Moves like Jagger,"Maroon 5, Christina Aguilera","June 21, 2011","Nu-disco
electropop
dance-pop",3:21,A&M Octone,"Adam Levine
Benny Blanco
Ammar Malik
Shellback","Shellback
Benny Blanco",,
What's Next (Drake song),Drake,"March 5, 2021",Trap,2:58,"Republic
OVO","Aubrey Graham
Jonathan Priester
Maneesh Bidaye","Maneesh
Supah Mario",,
Something (Beatles song),the Beatles,6 October 1969,"Soft rock
pop",2:59,Apple,George Harrison,George Martin,,
Somebody That I Used to Know,"Gotye, Kimbra",5 July 2011,"Art pop
alternative rock",4:04,"Eleven
Universal
V2",Wally De Backer,Wally De Backer,,
My Prerogative,Bobby Brown,"October 11, 1988",New jack swing,4:25,MCA,"Bobby Brown
Teddy Riley
Gene Griffin",Teddy Riley[1],,
The Morning After (Maureen McGovern song),Maureen McGovern,May 1973,Pop,2:14,20th Century,Joel HirschhornAl Kasha[1],Carl Maduri,,
You've Got a Friend,Carole King,1971,Soft rock,5:09,OdeA&M,Carole King,Lou Adler,,
My Ding-a-Ling,Chuck Berry,July 1972,Pop rocknovelty,11:33,Chess 2131,Dave Bartholomew,Esmond Edwards,,
Stars on 45 (song),Stars on 45,January 1981,Discopopnovelty,4:48,CNR Records CBS Records Radio/Atlantic Records,Robbie van LeeuwenJeff BarryAndy KimLennon-McCartney,Jaap Eggermont,,
Eve of Destruction (song),Barry McGuire,"July 16, 1965","Folk rock
pop",3:35,Dunhill RCA Victor,P. F. Sloan,"Lou Adler, P. F. Sloan, Steve Barri",,
Teen Angel (song),Mark Dinning,October 1959,Pop,2:42,MGM,"Jean Surrey, Red Surrey",Jim Vienneau,,
Sugar Shack,Jimmy Gilmer and the Fireballs,1963,"Pop rock, pop",2:00,Dot,"Keith McCormack
Faye Voss",Norman Petty,,
7 Rings,Ariana Grande,"January 18, 2019",Trap-pophip hopR&B,2:58,Republic,"Ariana Grande
Victoria Monét
Tayla Parx
Tommy Brown
Charles Anderson
Michael Foster
Njomza Vitia
Kimberly Krysiuk
Richard Rodgers
Oscar Hammerstein II","Tommy Brown
Charles Anderson
Michael Foster",,
Static (Steve Lacy song),Steve Lacy,"July 8, 2022","R&B
bedroom pop
funk",2:36,RCA,"Steve Lacy
John Kirby",Steve Lacy,,
Photograph (Ringo Starr song),Ringo Starr,24 September 1973,"Rock, pop",4:00,Apple,"Richard Starkey, George Harrison",Richard Perry,,
Will You Love Me Tomorrow,the Shirelles,November 1960 1961,"Brill Building
doo-wop
pop
soul",2:41,Scepter,,Luther Dixon,Gerry Goffin,Carole King
SexyBack,"Justin Timberlake, Timbaland, [1]","July 18, 2006","Electro-R&B
hip hop
disco",4:02,JiveZomba,"Justin TimberlakeTim MosleyNate ""Danja"" Hills","TimbalandJustin TimberlakeNate ""Danja"" Hills",,
Uncle Albert/Admiral Halsey,"Paul, Linda McCartney",2 August 1971,Progressive pop,4:49,Apple,Paul and Linda McCartney,Paul and Linda McCartney,,
Believe (Cher song),Cher,"October 19, 1998","Eurodance
dance-pop
electropop
dance",3:59,Warner Bros.,"Brian Higgins
Stuart McLennen
Paul Barry
Steven Torch
Matthew Gray
Timothy Powell
Cher (uncredited)","Mark Taylor
Brian Rawling",,
Human (The Human League song),the Human League,11 August 1986,"Pop soul
dance",4:24,Virgin,James Harris IIITerry Lewis,Jimmy Jam and Terry Lewis,,
Foolish Beat,Debbie Gibson,"April 11, 1988",,4:22,Atlantic,Deborah Gibson,Deborah Gibson,,
The Chipmunk Song (Christmas Don't Be Late),"Alvin and the Chipmunks, David Seville","November 17, 1958 source",Christmaspopnovelty,2:15,Liberty F-55168Liberty F-55250,Ross Bagdasarian,Ross Bagdasarian,,
Sicko Mode,"Travis Scott, Drake, [a]","August 21, 2018","Progressive rap
trap",5:12,"Cactus Jack
Grand Hustle
Epic","Jacques Webster II
Aubrey Graham
 William Leonard Roberts II
Khalif Brown
John Hawkins
Chauncey Hollis
Ozan Yildirim
Cydel Young
Tim Gomringer
Kevin Gomringer
Mirsad Dervić
Rogét Chahayed
Brytavious Chambers
Michael Dean
Luther Campbell
Harry Wayne Casey
Richard Finch
Christopher Wallace
Osten Harvey
Bryan Higgins
Trevor Smith
James Jackson
Malik Taylor
Keith Elam
Christopher Martin
Kamaal Fareed
Ali Shaheed Muhammad
Tyrone Taylor
Fred Scruggs
Kirk Jones
Chylow Parker","Chahayed
Hit-Boy
Oz
Cubeatz
Tay Keith
Dean",,
Big Girls Don't Cry (The Four Seasons song),The Four Seasons,October 1962,Rock and rollpopdoo-wop,2:26,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe,,
Truly Madly Deeply (song),Savage Garden,3 March 1997,Pop,4:37,"Roadshow Music
Warner Music","Darren Hayes
Daniel Jones",Charles Fisher,,
Don't Wanna Lose You,Gloria Estefan,"June 21, 1989",Pop,4:12,Epic,Gloria Estefan,"Emilio Estefan, Jr.
Jorge Casas
Clay Ostwald",,
Break My Soul,Beyoncé,"June 20, 2022",Diva housedance-pop,4:38,"Parkwood
Columbia","Beyoncé
Terius Nash
Christopher Stewart
Shawn Carter
Freddie Ross
Adam Pigott
G Syier Hawkins Brown
Allen George
Fred McFarlane","Beyoncé
The-Dream
Tricky Stewart
Jens Christian Isaksen",,
Heartaches by the Number,Guy Mitchell,"August 31, 1959",Country,2:34,Columbia,Harlan Howard,Joe Sherman,,
One of These Nights (Eagles song),Eagles,"May 19, 1975","Rock
country rock
R&B
disco",4:55,Asylum,"Don Henley
Glenn Frey",Bill Szymczyk,,
The House of the Rising Sun,the Animals,"June 19, 1964","Folk rock
blues rock",4:29,Columbia,"Traditional, arr. by Alan Price",Mickie Most,,
Teenage Dream (Katy Perry song),Katy Perry,"July 23, 2010","Electropop
power pop
disco
pop rock",3:47,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Benjamin Levin
Bonnie McKee","Dr. Luke
Benny Blanco
Max Martin",,
If Wishes Came True,Sweet Sensation,June 1990,"Pop rock
freestyle",5:12,ATCO,"Deena Charles
Robert Steele
Russ DeSalvo",Steve Peck,,
Bootylicious,Destiny's Child,"May 22, 2001","R&B
pop
funk",3:28,Columbia,"Charlie Skilling
Beyoncé Knowles
Falonte Moore
Stevie Nicks","Rob Fusari
Beyoncé Knowles
Falonte Moore",,
"Sugar, Sugar",The Archies,"May 24, 1969
July 1969",Bubblegum pop,2:48,Calendar/Kirshner,"Jeff Barry
Andy Kim",Jeff Barry,,
We Are Never Ever Getting Back Together,Taylor Swift,"August 13, 2012","Bubblegum pop
dance-pop
europop
electropop
pop rock
electro-folk",3:12,Big Machine,"Taylor Swift
Max Martin
Shellback","Max Martin
Shellback
Taylor Swift[note 1]",,
No Diggity,"Blackstreet, Dr. Dre, Queen Pen","July 29, 1996",R&Bhip hop,5:03,Interscope,Teddy RileyChauncey HannibalLynise WaltersAndre YoungWilliam StewartBill WithersRichard Vick,"Teddy RileyWilliam ""Skylz"" Stewart",,
Addicted to Love (song),Robert Palmer,January 1986,Dance-rock,4:04,Island,Robert Palmer,Bernard Edwards,,
Can't Stop the Feeling!,Justin Timberlake,"May 6, 2016","Disco-pop
soul-pop",3:58,RCA,"Justin Timberlake
Max Martin
Shellback","Timberlake
Martin
Shellback",,
Cathy's Clown,the Everly Brothers,April 1960,Pop,2:22,Warner Bros.,Don Everly,Wesley Rose,,
Indian Reservation (The Lament of the Cherokee Reservation Indian),Don Fardon,August 1968,Blues,3:23,PyeGNP Crescendo,John D. Loudermilk,Miki Dallon,,
Cat's in the Cradle,Harry Chapin,1974,"Folk rock
soft rock",3:29,Elektra,"Harry Chapin
Sandra Chapin",Paul Leka,,
Star Wars Theme/Cantina Band,Meco,1977,Discoinstrumental,327:34,MillenniumRCA,John Williams,Tony BongioviDomenico MonardoHarold Wheeler,,
A Moment Like This,Kelly Clarkson,"September 17, 2002",Pop,3:49,"19
RCA","Jörgen Elofsson
John Reid","Stephen Ferrera
Steve Mac",,
Stayin' Alive,Bee Gees,"December 15, 1977",Disco,453:25,RSO,Barry GibbRobin GibbMaurice Gibb,"Bee Gees
Albhy Galuten
Karl Richardson",,
Kyrie (song),Mr. Mister,December 1985,Pop rock,4:25,RCA,"Richard Page
Steve George
John Lang","Mr. Mister
Paul De Villiers",,
Close to You (Maxi Priest song),Maxi Priest,1990,"Pop
dance-pop
R&B
soul
reggae fusion
new jack swing",3:37,Charisma,Maxi PriestGary BensonWinston Sela,"Handel TuckerGeoffrey ChungLowell ""Sly"" Dunbar",,
I Think I Love You,The Partridge Family,"August 22, 1970","Baroque pop
bubblegum pop",2:54,Bell,Tony Romeo,Wes Farrell,,
Respect (song),Otis Redding,1965,Soul,2:05,Volt,Otis Redding,Steve Cropper,,
I Can't Go for That (No Can Do),Daryl Hall & John Oates,November 1981,"Synth-pop
soft rock",5:09,RCA,"Sara Allen
Daryl Hall
John Oates",Hall & Oates,,
Bennie and the Jets,Elton John,4 February 1974,"Glam rock
R&B",5:23,"MCA
DJM","Elton John
Bernie Taupin",Gus Dudgeon,,
Ain't It Funny (Murder Remix),"Jennifer Lopez, Ja Rule","January 7, 2002","Hip hop
R&B",3:54,Epic,"Jennifer Lopez
Cory Rooney
Irving Lorenzo
Jeffrey Atkins
Tiheem Crocker
Ashanti Douglas
Craig Mack","Irv Gotti
7
Cory Rooney",,
Happy Together (song),the Turtles,January 1967,"Pop rock
psychedelic pop
sunshine pop",2:50,White Whale,"Alan Gordon
Garry Bonner",Joe Wissert,,
Le Freak,Chic,"September 21, 1978","Disco
funk",5:23,Atlantic,"Bernard Edwards
Nile Rodgers","Bernard Edwards
Nile Rodgers",,
Disco Lady,Johnnie Taylor,January 1976,"Soul
disco",4:02,Columbia,"Harvey Scales, Albert Vance, Don Davis",Don Davis,,
You Ain't Seen Nothing Yet (Bachman–Turner Overdrive song),Bachman–Turner Overdrive,September 1974,Hard rock,3:31,Mercury,Randy Bachman,Randy Bachman,,
21 Questions,"50 Cent, Nate Dogg","March 4, 2003",Hip hopR&B,3:44,InterscopeShadyAftermath,"Curtis Jackson
Nick Corrado
Kevin Risto
Jimmy Cameron
Vela M. Cameron",Dirty Swift,,
Sussudio,Phil Collins,14 January 1985,"Funk
dance-pop
R&B",4:23,"Virgin
Atlantic",Phil Collins,"Phil Collins
Hugh Padgham",,
Are You Lonesome Tonight?,,1927,Traditional pop,3:10,Harmony Records,"Lou Handman, Roy Turk",,,
The Look,Roxette,12 January 1989,"Pop rock
glam rock
synth-rock",3:57,EMI,Per Gessle,Clarence Öfwerman,,
Coming Out of the Dark,Gloria Estefan,"January 10, 1991","Dance-pop
gospel
soul",4:02,Epic,"Gloria Estefan
Emilio Estefan Jr.
Jon Secada","Emilio Estefan Jr.
Jorge Casas
Clay Ostwald",,
Perfect (Ed Sheeran song),Ed Sheeran,26 September 2017,Pop,4:23,"Asylum
Atlantic",Ed Sheeran,"Ed Sheeran
Will Hicks",,
Just Dance (song),"Lady Gaga, Colby O'Donis","April 8, 2008","Electropop
synth-pop
dance-pop",4:01,"Streamline
KonLive
Cherrytree
Interscope","Stefani Germanotta
Nadir ""RedOne"" Khayat
Aliaune ""Akon"" Thiam",RedOne,,
