Date,Summary,Aircraft type,Operator,Passengers,Crew,Fatalities,Injuries,Survivors,Name,Year,Link,Location,Latitude,Longitude,Onboard,Death Rate,Injury Rate
7 March 1965 (1965-03-07),"Severe turbulence, wing failure",Lisunov Li-2,Aeroflot/Krasnoyarsk,27.0,4.0,31.0,,0.0,Aeroflot Flight 542,1965,https://en.wikipedia.org/wiki/Aeroflot_Flight_542,Yermakovsky District,52.6074834,93.13199014898203,31.0,1.0,0.0
14 April 1965,Pilot error in fog,Douglas C-47,British United (C.I.) Airways,23.0,4.0,26.0,1.0,1.0,British United Airways Flight 1030X,1965,https://en.wikipedia.org/wiki/British_United_Airways_Flight_1030X,Jersey,49.20583,-2.21833,27.0,0.9629629629629629,0.037037037037037035
20 July 1965,Loss of control,Vickers Viscount,Cambrian Airways,0.0,2.0,4.0,0.0,0.0,Cambrian Airways Liverpool crash,1965,https://en.wikipedia.org/wiki/Cambrian_Airways_Liverpool_crash,Liverpool International Airport,53.336333,-2.848583,2.0,2.0,0.0
"July 8, 1965",Explosion of a device,Douglas DC-6B,Canadian Pacific Air Lines,46.0,6.0,52.0,,0.0,Canadian Pacific Air Lines Flight 21,1965,https://en.wikipedia.org/wiki/Canadian_Pacific_Air_Lines_Flight_21,"100 Mile House, British Columbia",51.59611,-121.76361,52.0,1.0,0.0
19 September 1965 (1965-09-19),Shot down,Beechcraft Model 18,India,6.0,2.0,8.0,,0.0,Gujarat Beechcraft incident,1965,https://en.wikipedia.org/wiki/Gujarat_Beechcraft_incident,Bhuj,23.2472446,69.668339,8.0,1.0,0.0
"May 5, 1965",Poor visual on runway,Lockheed L-1049 Super Constellation,Iberia Airlines,40.0,9.0,30.0,,19.0,Iberia Flight 401,1965,https://en.wikipedia.org/wiki/Iberia_Flight_401,Los Rodeos Airport,28.48275745,-16.34122474502233,49.0,0.6122448979591837,0.0
6 February 1965,"Pilot error, controlled flight into terrain",Douglas DC-6B-404,LAN Chile,80.0,7.0,87.0,,0.0,LAN-Chile Flight 107,1965,https://en.wikipedia.org/wiki/LAN-Chile_Flight_107,San José Volcano,12.7691979,124.0554663783345,87.0,1.0,0.0
6 July 1965,Mechanical fault due to metal fatigue,Handley Page Hastings,Royal Air Force,35.0,6.0,41.0,,0.0,Little Baldon air crash,1965,https://en.wikipedia.org/wiki/Little_Baldon_air_crash,Little Baldon,51.6774000,-1.1810306,41.0,1.0,0.0
20 May 1965,Controlled flight into terrain during approach; excessive descent - cause undetermined[1],Boeing 720B,Pakistan International Airlines,114.0,13.0,121.0,6.0,6.0,Pakistan International Airlines Flight 705,1965,https://en.wikipedia.org/wiki/Pakistan_International_Airlines_Flight_705,Cairo International Airport,30.12194,31.40556,127.0,0.952755905511811,0.047244094488188976
"December 5, 1965",Pre-flight human error,Douglas A-4E Skyhawk, Attack Squadron VA-56[1]Carrier Air Wing Five,,,1.0,,,1965 Philippine Sea A-4 incident,1965,https://en.wikipedia.org/wiki/1965_Philippine_Sea_A-4_incident,Philippine Sea,27.5533,131.3217,0.0,0.0,0.0
11 July 1965,"Defective infrastructure, pilot error",Avro 748-101 Series 1,Skyways Coach-Air,48.0,4.0,0.0,3.0,52.0,1965 Skyways Coach-Air Avro 748 crash,1965,https://en.wikipedia.org/wiki/1965_Skyways_Coach-Air_Avro_748_crash,Lympne Airport,51.083,1.017,52.0,0.0,0.057692307692307696
"January 16, 1965",Loss of controldue to malfunctionof rudder control system,Boeing KC-135A-BN Stratotanker,United States Air ForceStrategic Air Command,0.0,7.0,30.0,27.0,0.0,,1965,https://en.wikipedia.org/wiki/1965_USAF_KC-135_Wichita_crash,McConnell AFB,37.7202,-97.3131,7.0,4.285714285714286,3.857142857142857
4 July 1966,Engine failure due to design flaw,Douglas DC-8-52,Air New Zealand,,5.0,2.0,3.0,3.0,1966 Air New Zealand DC-8 crash,1966,https://en.wikipedia.org/wiki/1966_Air_New_Zealand_DC-8_crash,Auckland International Airport,-37.01000,174.79139,5.0,0.4,0.6
24 December 1966 (1966-12-24),Controlled flight into terrain due to pilot error,Canadair CL-44,Flying Tiger Line,0.0,4.0,111.0,50.0,0.0,1966 Flying Tiger Line Canadair CL-44 crash,1966,https://en.wikipedia.org/wiki/1966_Flying_Tiger_Line_Canadair_CL-44_crash,Da Nang,16.068,108.212,4.0,27.75,12.5
17 February 1966 (1966-02-17),Crew and ATC errors,Tupolev Tu-114,Aeroflot,47.0,19.0,21.0,,45.0,Aeroflot Flight 065,1966,https://en.wikipedia.org/wiki/Aeroflot_Flight_065,Sheremetyevo International Airport,55.97608755,37.4238008194297,66.0,0.3181818181818182,0.0
23 April 1966 (1966-04-23),"Double engine failure for reasons unknown, ditching at sea",Ilyushin Il-14P,Aeroflot,28.0,5.0,33.0,,0.0,Aeroflot Flight 2723,1966,https://en.wikipedia.org/wiki/Aeroflot_Flight_2723,Caspian Sea,41.7789772,50.560757905794325,33.0,1.0,0.0
28–29 September 1966 (1966-09-29),Aircraft hijacking,Douglas DC-4,Aerolíneas Argentinas,32.0,6.0,0.0,,38.0,Aerolíneas Argentinas Flight 648,1966,https://en.wikipedia.org/wiki/Aerol%C3%ADneas_Argentinas_Flight_648_hijacking,Stanley,-51.691913,-57.881150,38.0,0.0,0.0
24 January 1966 (1966-01-24),Controlled flight into terrain,Boeing 707–437,Air India,106.0,11.0,117.0,,0.0,Air India Flight 101,1966,https://en.wikipedia.org/wiki/Air_India_Flight_101,Mont Blanc massif,45.87778,6.86667,117.0,1.0,0.0
"February 4, 1966 (1966-02-04)",Crashed into Tokyo Bay due to undetermined reasons[1],Boeing 727-81,All Nippon Airways,126.0,7.0,133.0,,0.0,All Nippon Airways Flight 60,1966,https://en.wikipedia.org/wiki/All_Nippon_Airways_Flight_60,Tokyo Bay,19.26093085,72.95776079391682,133.0,1.0,0.0
"November 13, 1966",Crashed due to undetermined reasons,NAMC YS-11-111,All Nippon Airways,45.0,5.0,50.0,0.0,0.0,All Nippon Airways Flight 533,1966,https://en.wikipedia.org/wiki/All_Nippon_Airways_Flight_533,Seto Inland Sea,34.333333,133.5,50.0,1.0,0.0
22 September 1966,"In-flight fire, wing failure",Vickers Viscount 832,Ansett-ANA,20.0,4.0,24.0,,0.0,Ansett-ANA Flight 149,1966,https://en.wikipedia.org/wiki/Ansett-ANA_Flight_149,"Winton, Queensland",-22.3798,142.8356,24.0,1.0,0.0
"January 14, 1966",Crashed due to stall; cause undetermined,Douglas C-54,Avianca,60.0,4.0,56.0,,8.0,Avianca Flight 03,1966,https://en.wikipedia.org/wiki/Avianca_Flight_03,"Cartagena, Colombia",10.4266746,-75.5443419,64.0,0.875,0.0
5 March 1966,In-flight break-up caused by severe turbulence,Boeing 707–436,BOAC,113.0,11.0,124.0,,0.0,BOAC Flight 911,1966,https://en.wikipedia.org/wiki/BOAC_Flight_911,Mount Fuji,35.33306,138.80472,124.0,1.0,0.0
"August 6, 1966",In-flight structural failure,BAC 1-11-203AE,Braniff Airways,38.0,4.0,42.0,,0.0,Braniff International Airways Flight 250,1966,https://en.wikipedia.org/wiki/Braniff_International_Airways_Flight_250,Richardson County,40.1749444,-95.5389722,42.0,1.0,0.0
1 September 1966,Controlled flight into terrain,Bristol 175 Britannia 102,Britannia Airways,110.0,7.0,98.0,,19.0,Britannia Airways Flight 105,1966,https://en.wikipedia.org/wiki/Britannia_Airways_Flight_105,,,,117.0,0.8376068376068376,0.0
"March 4, 1966",Pilot error,Douglas DC-8-43,Canadian Pacific Air Lines,62.0,10.0,64.0,,8.0,Canadian Pacific Air Lines Flight 402,1966,https://en.wikipedia.org/wiki/Canadian_Pacific_Air_Lines_Flight_402,Tokyo International Airport,35.5377,139.8065,72.0,0.8888888888888888,0.0
3 June 1966,Deep stall due to Pilot error,Hawker Siddeley Trident 1C,Hawker Siddeley,0.0,4.0,4.0,,0.0,Felthorpe Trident crash,1966,https://en.wikipedia.org/wiki/1966_Felthorpe_Trident_crash,Felthorpe,52.702516,1.193228,4.0,1.0,0.0
22 July 1966,Unqualified person takes off after engaging afterburner by mistake during ground test,English Electric Lightning F.1,RAF Maintenance Command,0.0,1.0,0.0,,1.0,Holden's Lightning flight,1966,https://en.wikipedia.org/wiki/Holden%27s_Lightning_flight,RAF Lyneham,51.5045983,-1.9946528727952568,1.0,0.0,0.0
27 April 1966,Controlled flight into terrain,Lockheed L-749A Constellation,LANSA,43.0,6.0,49.0,,0.0,LANSA Flight 501,1966,https://en.wikipedia.org/wiki/LANSA_Flight_501,Tomas District,14.63789175,121.06309977390114,49.0,1.0,0.0
28 January 1966,Stall during go-around,Convair CV 440,Lufthansa,42.0,4.0,46.0,,0.0,Lufthansa Flight 005,1966,https://en.wikipedia.org/wiki/Lufthansa_Flight_005,Bremen Airport,53.045935,8.773699,46.0,1.0,0.0
17 January 1966,Mid-air collision,,"Strategic Air Command, United States Air Force",,7.0,7.0,,4.0,1966 Palomares B-52 crash,1966,https://en.wikipedia.org/wiki/1966_Palomares_B-52_crash,Mediterranean Sea,37.24917,-1.79694,7.0,1.0,0.0
"November 15, 1966",Controlled flight into terrain; cause unknown,Boeing 727-21,Pan American World Airways,0.0,3.0,3.0,,0.0,Pan Am Flight 708,1966,https://en.wikipedia.org/wiki/Pan_Am_Flight_708,Dallgow-Döberitz,52.5406496,13.0602956,3.0,1.0,0.0
24 November 1966,"Controlled flight into terrain, bad weather and pilot error",Ilyushin Il-18B,TABSO,74.0,8.0,82.0,,0.0,TABSO Flight 101,1966,https://en.wikipedia.org/wiki/TABSO_Flight_101,Bratislava,48.24444,17.16528,82.0,1.0,0.0
18 March 1966,"Pilot error, poor weather",Antonov An-24,United Arab Airlines,25.0,5.0,30.0,,0.0,United Arab Airlines Flight 749,1966,https://en.wikipedia.org/wiki/United_Arab_Airlines_Flight_749,Cairo International Airport,30.1140504,31.424546074834208,30.0,1.0,0.0
11 April 1967 (1967-04-11),Controlled flight into terrain,Douglas DC-4,Air Algérie,33.0,6.0,35.0,4.0,4.0,1967 Air Algérie DC-4 crash,1967,https://en.wikipedia.org/wiki/1967_Air_Alg%C3%A9rie_DC-4_crash,Tamanrasset,24.3753438,4.3208436,39.0,0.8974358974358975,0.10256410256410256
8 December 1967,Controlled flight into terrain[1],Douglas C-54,Faucett Perú,66.0,6.0,72.0,,0.0,1967 Cordillera Carpish Faucett Perú Douglas C-54 crash,1967,https://en.wikipedia.org/wiki/1967_Cordillera_Carpish_Faucett_Per%C3%BA_Douglas_C-54_crash,Cordillera de Carpish,,,72.0,1.0,0.0
16 November 1967 (1967-11-16),Engine failure and fire followed by an electrical failure of cockpit instruments,Ilyushin Il-18V,Aeroflot,99.0,8.0,107.0,,0.0,Aeroflot Flight 2230,1967,https://en.wikipedia.org/wiki/Aeroflot_Flight_2230,,,,107.0,1.0,0.0
14 January 1967,In-flight fire,Antonov An-12B,Aeroflot,0.0,6.0,6.0,,0.0,Aeroflot Flight 5003,1967,https://en.wikipedia.org/wiki/Aeroflot_Flight_5003_(1967),,,,6.0,1.0,0.0
30 December 1967,Pilot error,Antonov An-24,Aeroflot,46.0,5.0,43.0,,8.0,Aeroflot Flight L-51,1967,https://en.wikipedia.org/wiki/Aeroflot_Flight_L-51,Liepāja International Airport,56.517727199999996,21.09573656264606,51.0,0.8431372549019608,0.0
3 June 1967,Carbon monoxide poisoning of the flight crew due to a faulty cabin heater.,Douglas DC-4,Air Ferry,83.0,5.0,88.0,,0.0,1967 Air Ferry DC-4 accident,1967,https://en.wikipedia.org/wiki/1967_Air_Ferry_DC-4_accident,Canigou,42.6526655,2.945119,88.0,1.0,0.0
5 September 1967 (1967-09-05),"Failure to climb for undetermined reason, striking obstructions and impacting the ground.",Ilyushin Il-18D,ČSA (Československé Státní Aerolinie),61.0,8.0,35.0,,34.0,ČSA Flight 523,1967,https://en.wikipedia.org/wiki/%C4%8CSA_Flight_523,Gander Airport,48.9423472,-54.5338972,69.0,0.5072463768115942,0.0
12 October 1967,Terrorist bombing,de Havilland DH.106 Comet 4B,Cyprus Airways operated byBritish European Airways,59.0,7.0,66.0,,0.0,Cyprus Airways Flight 284,1967,https://en.wikipedia.org/wiki/Cyprus_Airways_Flight_284,Mediterranean Sea,35.0000035,19.9999957,66.0,1.0,0.0
16 February 1967 (1967-02-16),"Pilot error, Bad weather",Lockheed L-188C Electra,Garuda Indonesian Airways,84.0,8.0,22.0,,70.0,Garuda Indonesian Airways Flight 708,1967,https://en.wikipedia.org/wiki/Garuda_Indonesian_Airways_Flight_708,Mapanget Airport,1.5504688500000001,124.92516459750878,92.0,0.2391304347826087,0.0
4 November 1967,Controlled flight into terrain for undetermined reasons,Sud Aviation Caravelle,Iberia Airlines,30.0,7.0,37.0,0.0,0.0,Iberia Flight 062,1967,https://en.wikipedia.org/wiki/Iberia_Flight_062,Blackdown Hill,51.05167,-0.69056,37.0,1.0,0.0
"August 27, 1967; 56 years ago (1967-08-27)",,,,,,,,,,1967,https://en.wikipedia.org/wiki/1967_Lake_Erie_skydiving_disaster,,,,0.0,0.0,0.0
20 April 1967,Controlled flight into terrain (CFIT),Bristol Britannia 313,Globe Air,120.0,10.0,126.0,3.0,4.0,1967 Nicosia Britannia disaster,1967,https://en.wikipedia.org/wiki/1967_Nicosia_Britannia_disaster,Nicosia Airport,35.0949953,33.0817175,130.0,0.9692307692307692,0.023076923076923078
13 March 1967 (1967-03-13),Loss of control for unknown reasons; possible pilot incapacitation or in-flight structural failure,Vickers Viscount 818,South African Airways,20.0,5.0,25.0,,0.0,South African Airways Flight 406,1967,https://en.wikipedia.org/wiki/South_African_Airways_Flight_406,Kayser's Beach,-33.22417,27.6383,25.0,1.0,0.0
4 June 1967,Crashed on approach following double engine failure,Canadair C-4 Argonaut,British Midland Airways,79.0,5.0,72.0,12.0,12.0,Stockport Air Disaster,1967,https://en.wikipedia.org/wiki/Stockport_air_disaster,Stockport,53.407563,-2.153138,84.0,0.8571428571428571,0.14285714285714285
30 June 1967 (1967-06-30),Landing accident,Sud Aviation Caravelle III,Thai Airways International,73.0,7.0,24.0,56.0,56.0,Thai Airways International Flight 601,1967,https://en.wikipedia.org/wiki/Thai_Airways_International_Flight_601,Kai Tak Airport,22.3020,114.2173,80.0,0.3,0.7
5 March 1967 (1967-03-05),Controlled flight into terrain caused by pilot error,Douglas DC-8-33,Varig,71.0,19.0,56.0,,39.0,Varig Flight 837,1967,https://en.wikipedia.org/wiki/Varig_Flight_837,Roberts International Airport,6.207,-10.37897,90.0,0.6222222222222222,0.0
19 November 1968 (1968-11-19),Aborted take-off with runway overrun,Boeing B-52D Stratofortress,"United States Air Force (USAF), 4252d Strategic Wing (4252d SW )",,7.0,2.0,,5.0,1968 Kadena Air Base B-52 crash,1968,https://en.wikipedia.org/wiki/1968_Kadena_Air_Base_B-52_crash,Kadena Air Base,26.3689056,127.7820833,7.0,0.2857142857142857,0.0
24 March 1968,In-flight structural failure of Undetermined cause,Vickers Viscount 803,Aer Lingus,57.0,4.0,61.0,,0.0,Aer Lingus Flight 712,1968,https://en.wikipedia.org/wiki/Aer_Lingus_Flight_712,St George's Channel,51.963994099999994,-5.829077760003903,61.0,1.0,0.0
29 February 1968,Loss of control,Ilyushin Il-18D,Aeroflot,75.0,9.0,83.0,1.0,1.0,Aeroflot Flight 15,1968,https://en.wikipedia.org/wiki/Aeroflot_Flight_15,Chunsky District,56.091248,99.633705,84.0,0.9880952380952381,0.011904761904761904
6 January 1968 (1968-01-06),Loss of control for reasons unknown,Antonov An-24B,Aeroflot,39.0,6.0,45.0,,0.0,Aeroflot Flight 1668,1968,https://en.wikipedia.org/wiki/Aeroflot_Flight_1668,,,,45.0,1.0,0.0
5 March 1968 (1968-03-05),Controlled flight into terrain,Boeing 707-328C,Air France,52.0,11.0,63.0,,0.0,Air France Flight 212,1968,https://en.wikipedia.org/wiki/Air_France_Flight_212_(1968),La Grande Soufrière,16.0,-61.7,63.0,1.0,0.0
11 September 1968,Loss of control after a fire in rear cabin of uncertain origin,SE-210 Caravelle III,Air France,89.0,6.0,95.0,,0.0,Air France Flight 1611,1968,https://en.wikipedia.org/wiki/Air_France_Flight_1611,Mediterranean Sea,43.28528,7.22361,95.0,1.0,0.0
3 July 1968,Mechanical failure caused by metal fatigue,Airspeed Ambassador,BKS Air Transport,5.0,3.0,6.0,,2.0,BKS Air Transport Flight C.6845[1],1968,https://en.wikipedia.org/wiki/BKS_Air_Transport_Flight_C.6845,Heathrow Airport,51.4734,-0.4501,8.0,0.75,0.0
8 April 1968,Uncontained Engine Failure resulting in number 2 engine catching fire and detaching,Boeing 707-465,BOAC,116.0,11.0,5.0,38.0,122.0,BOAC Flight 712,1968,https://en.wikipedia.org/wiki/BOAC_Flight_712,Hounslow,51.4686132,-0.3613471,127.0,0.03937007874015748,0.2992125984251969
16 February 1968 (1968-02-16),Controlled flight into terrain due to pilot error,Boeing 727-92C,Civil Air Transport,52.0,11.0,22.0,42.0,42.0,Civil Air Transport Flight 10,1968,https://en.wikipedia.org/wiki/Civil_Air_Transport_Flight_10,Linkou District,25.0775308,121.3916021,63.0,0.3492063492063492,0.6666666666666666
27 March 1968 (1968-03-27),Crashed following loss of control,MiG-15UTI,Soviet Air Forces,,2.0,2.0,,0.0,Death of Yuri Gagarin,1968,https://en.wikipedia.org/wiki/Death_of_Yuri_Gagarin,Novosyolovo,56.046639,39.026500,2.0,1.0,0.0
28 May 1968 (1968-05-28),"Crashed on climb-out for unknown reasons, presumably misfuelling",Convair CV-990-30A-5,Garuda Indonesian Airways,15.0,14.0,30.0,,0.0,Garuda Indonesian Airways Flight 892,1968,https://en.wikipedia.org/wiki/Garuda_Indonesian_Airways_Flight_892,Nala Sopara,19.4203577,72.8194857,29.0,1.0344827586206897,0.0
5 April 1968 (1968-04-05),Aircraft flew under bridge following unofficial flypast,Hawker Hunter FGA.9,"1 Squadron, Royal Air Force",,1.0,0.0,0.0,1.0,Hawker Hunter Tower Bridge incident,1968,https://en.wikipedia.org/wiki/Hawker_Hunter_Tower_Bridge_incident,Tower Bridge,51.50556,-0.07556,1.0,0.0,0.0
7 February 1968 (1968-02-07),Missing from 1968 till discovery of mortal remains of one of the victims in 2003 Crashed[1],Antonov An-12,Indian Air Force,98.0,4.0,102.0,,0.0,Indian Air Force Flight 203,1968,https://en.wikipedia.org/wiki/1968_Indian_Air_Force_An-12_crash,,,,102.0,1.0,0.0
"May 12, 1968",Aircraft shot down by North Vietnamese Army,Lockheed C-130B Hercules,United States Air Force,184.0,5.0,189.0,,0.0,1968 Kham Duc C-130 shootdown,1968,https://en.wikipedia.org/wiki/1968_Kham_Duc_C-130_shootdown,South Vietnam,15.4382,107.7969,189.0,1.0,0.0
31 December 1968,Metal fatigue caused by maintenance error,Vickers Viscount Type 720,MacRobertson Miller Airlines,22.0,4.0,26.0,,0.0,MacRobertson Miller Airlines Flight 1750,1968,https://en.wikipedia.org/wiki/MacRobertson_Miller_Airlines_Flight_1750,"Port Hedland, Western Australia",-20.8457,118.5848,26.0,1.0,0.0
"December 12, 1968",Pilot error,Boeing 707-321B,Pan American World Airways,42.0,9.0,51.0,,0.0,Pan Am Flight 217,1968,https://en.wikipedia.org/wiki/Pan_Am_Flight_217,Caracas,10.5060934,-66.9146008,51.0,1.0,0.0
"July 1, 1968",Forced landing,Douglas DC-8 Super 63CF,Seaboard World Airlines (chartered as a troop transport),214.0,24.0,0.0,0.0,238.0,Seaboard World Airlines Flight 253A,1968,https://en.wikipedia.org/wiki/Seaboard_World_Airlines_Flight_253A,,,,238.0,0.0,0.0
20 April 1968,Controlled flight into terrain,Boeing 707-344C,South African Airways,116.0,12.0,123.0,,5.0,South African Airways Flight 228,1968,https://en.wikipedia.org/wiki/South_African_Airways_Flight_228,Strijdom International Airport,-22.44944,17.53389,128.0,0.9609375,0.0
21 January 1968,In-flight fire,B-52G Stratofortress,"380th Strategic Bomb Wing, Strategic Air Command, United States Air Force",,7.0,1.0,0.0,6.0,1968 Thule Air Base B-52 crash,1968,https://en.wikipedia.org/wiki/1968_Thule_Air_Base_B-52_crash,Thule Air Base,76.52778,-69.28194,7.0,0.14285714285714285,0.0
26 September 1969 (1969-09-26),Cause unknown; possible controlled flight into terrain,Douglas DC-6B,Lloyd Aéreo Boliviano,69.0,5.0,74.0,0.0,0.0,1969 La Paz Lloyd Aéreo Boliviano Douglas DC-6 crash,1969,https://en.wikipedia.org/wiki/1969_La_Paz_Lloyd_A%C3%A9reo_Boliviano_Douglas_DC-6_crash,Mount Choquetanga,,,74.0,1.0,0.0
23 May 1969 (1969-05-23),Aircraft theft and disappearance,Lockheed C-130E Hercules,United States Air Force,,,1.0,,0.0,1969 theft of C-130,1969,https://en.wikipedia.org/wiki/1969_theft_of_C-130,English Channel,50.4924668,1.054682,0.0,0.0,0.0
3 August 1969 (1969-08-03),Mechanical malfunction due to metal fatigue,Antonov An-24,Aeroflot,51.0,4.0,55.0,,0.0,Aeroflot Flight N-826,1969,https://en.wikipedia.org/wiki/Aeroflot_Flight_N-826,Krynychky Raion,48.32373845,34.28899445803644,55.0,1.0,0.0
"December 3, 1969 (1969-12-03)",Unknown[1][2],Boeing 707-328B,Air France,41.0,21.0,62.0,0.0,0.0,Air France Flight 212,1969,https://en.wikipedia.org/wiki/Air_France_Flight_212_(1969),"Caracas, Venezuela",10.5060934,-66.9146008,62.0,1.0,0.0
5 January 1969,Controlled flight into terrain in low visibility,Boeing 727-013C,Ariana Afghan Airlines,54.0,8.0,50.0,15.0,14.0,Ariana Afghan Airlines Flight 701,1969,https://en.wikipedia.org/wiki/Ariana_Afghan_Airlines_Flight_701,Fernhill,51.1548,-0.1422,62.0,0.8064516129032258,0.24193548387096775
20 March 1969,Pilot error in low visibility and poor weather,Ilyushin Il-18D,United Arab Airlines,98.0,7.0,100.0,5.0,5.0,1969 Aswan Ilyushin Il-18 crash,1969,https://en.wikipedia.org/wiki/1969_Aswan_Ilyushin_Il-18_crash,Aswan International Airport,23.958,32.820,105.0,0.9523809523809523,0.047619047619047616
24 February 1969,Engine failure,Handley Page Dart Herald,Far Eastern Air Transport,32.0,4.0,36.0,,0.0,Far Eastern Transport Flight 104,1969,https://en.wikipedia.org/wiki/Far_Eastern_Air_Transport_Flight_104,Tainan City,22.9912348,120.184982,36.0,1.0,0.0
11 December 1969,Hijacking by North Koreans,YS-11,Korean Air Lines,47.0,4.0,0.0,,51.0,Korean Air Lines YS-11 hijacking,1969,https://en.wikipedia.org/wiki/Korean_Air_Lines_YS-11_hijacking,South Korean Airspace,,,51.0,0.0,0.0
"April 28, 1969",Controlled flight into terrain,Boeing 727-116,LAN-Chile,52.0,8.0,0.0,0.0,60.0,LAN-Chile Flight 160,1969,https://en.wikipedia.org/wiki/LAN-Chile_Flight_160,"Colina, Chile",-33.202472,-70.6749147,60.0,0.0,0.0
2 April 1969,Bad weather and CFIT,Antonov An-24W,LOT Polish Airlines,47.0,6.0,53.0,0.0,0.0,LOT Polish Airlines Flight 165,1969,https://en.wikipedia.org/wiki/LOT_Polish_Airlines_Flight_165,Zawoja,49.63333,19.63333,53.0,1.0,0.0
4 June 1969 (1969-06-04),,Boeing 727-64,Mexicana de Aviación,72.0,7.0,79.0,0.0,0.0,Mexicana de Aviación Flight 704,1969,https://en.wikipedia.org/wiki/Mexicana_de_Aviaci%C3%B3n_Flight_704,"Apodaca, Nuevo León",25.7816542,-100.1887501,79.0,1.0,0.0
20 November 1969,Undetermined; probable CFIT due to pilot error,Vickers VC10,Nigeria Airways,76.0,11.0,87.0,,0.0,Nigeria Airways Flight 825,1969,https://en.wikipedia.org/wiki/Nigeria_Airways_Flight_825,,,,87.0,1.0,0.0
8 December 1969,Controlled flight into terrain (CFIT),Douglas DC-6B,Olympic Airways,85.0,5.0,90.0,,0.0,Olympic Airways Flight 954,1969,https://en.wikipedia.org/wiki/Olympic_Airways_Flight_954,Keratea,37.8083817,23.9776656,90.0,1.0,0.0
12 September 1969,Controlled flight into terrain,BAC One-Eleven,Philippine Air Lines,42.0,5.0,45.0,2.0,2.0,Philippine Air Lines Flight 158,1969,https://en.wikipedia.org/wiki/Philippine_Airlines_Flight_158,Antipolo,14.5871972,121.1759246,47.0,0.9574468085106383,0.0425531914893617
23 November 1960,Controlled flight into terrain,Douglas DC-3C,Philippine Airlines,29.0,4.0,33.0,,0.0,Philippine Airlines Flight S26,1969,https://en.wikipedia.org/wiki/Philippine_Airlines_Flight_S26,Mount Baco,12.8064202,121.1428777,33.0,1.0,0.0
12 July 1969,Controlled flight into terrain,Douglas DC-3,Royal Nepal Airlines,31.0,4.0,35.0,,0.0,1969 Royal Nepal Airlines DC-3 crash,1969,https://en.wikipedia.org/wiki/1969_Royal_Nepal_Airlines_DC-3_crash,Hetauda,27.419222650000002,85.00987572152766,35.0,1.0,0.0
29 August 1969,Hijacking,Boeing 707-331B[1],Trans World Airlines,120.0,7.0,0.0,2.0,127.0,TWA Flight 840,1969,https://en.wikipedia.org/wiki/TWA_Flight_840_hijacking,,,,127.0,0.0,0.015748031496062992
"March 16, 1969 (1969-03-16)","Short runway with faulty temperature sensors, and pilot error due to calculations of incorrect information leading to overloading of aircraft",McDonnell Douglas DC-9-32,Viasa,74.0,10.0,155.0,,0.0,Viasa Flight 742,1969,https://en.wikipedia.org/wiki/Viasa_Flight_742,Grano de Oro Airport,10.694,-71.637,84.0,1.8452380952380953,0.0
23 June 1969,Mid-air collision,,Aeroflot,19.0,5.0,120.0,,0.0,1969 Yukhnov mid-air collision,1969,https://en.wikipedia.org/wiki/1969_Yukhnov_mid-air_collision,,54.5981972,35.6077389,24.0,5.0,0.0
18 July 1970 (1970-07-18),"Unknown, possible propeller separation leading to explosive decompression",Antonov An-22,Soviet Air Forces,7.0,15.0,22.0,,0.0,Atlantic Ocean Antonov An-22 crash,1970,https://en.wikipedia.org/wiki/1970_Atlantic_Ocean_Antonov_An-22_crash,,,,22.0,1.0,0.0
"April 1, 1970 (1970-04-01)","Crash resulting from avoiding the town of  Berrechid, Morocco.",Sud Aviation SE-210 Caravelle III,Royal Air Maroc - RAM,76.0,6.0,61.0,,17.0,1970 Berrechid Royal Air Maroc Caravelle crash,1970,https://en.wikipedia.org/wiki/1970_Berrechid_Royal_Air_Maroc_Caravelle_crash,,,,82.0,0.7439024390243902,0.0
5 January 1970 (1970-01-05),Microburst-induced wind shear along with inclement weather,Convair CV-990-30A-5 Coronado[1],Spantax,7.0,3.0,5.0,,5.0,1970 Spantax Convair CV-990 crash,1970,https://en.wikipedia.org/wiki/1970_Spantax_CV-990_crash,,59.6280028,17.8975972,10.0,0.5,0.0
15 October 1970,Hijacking,Antonov An-24b,Aeroflot,45.0,4.0,1.0,3.0,49.0,Aeroflot Flight 244,1970,https://en.wikipedia.org/wiki/Aeroflot_Flight_244,,,,49.0,0.02040816326530612,0.061224489795918366
1 April 1970 (1970-04-01),Collision with weather balloon,Antonov An-24B,Aeroflot,40.0,5.0,45.0,,0.0,Aeroflot Flight 1661,1970,https://en.wikipedia.org/wiki/Aeroflot_Flight_1661,Toguchin,55.23769,84.402458,45.0,1.0,0.0
2 September 1970 (1970-09-02),Loss of control for reasons unknown,Tupolev Tu-124,Aeroflot,32.0,5.0,37.0,,0.0,Aeroflot Flight 3630,1970,https://en.wikipedia.org/wiki/Aeroflot_Flight_3630,Dnipropetrovsk,48.662589,34.9501715,37.0,1.0,0.0
6 February 1970 (1970-02-06),Pilot and ATC error,Ilyushin Il-18,Aeroflot,98.0,8.0,92.0,14.0,14.0,Aeroflot Flight U-45,1970,https://en.wikipedia.org/wiki/Aeroflot_Flight_U-45,Samarkand International Airport,39.69943315,66.98933462328984,106.0,0.8679245283018868,0.1320754716981132
